ICD1,ICD2,Log2_Ratio,ICD11_1,ICD11_2
M54,R02,1.77617999832,ME84,MC85
G24,K77,1.486274,8A02,1H0Z
J45,N30,1.356583,CA23.32,GC00
F51,J00,1.215496,7B2Z,CA00
R13,R53,1.110956,MD93,MG25
K25,R26,1.040118,DA60,MB44
F19,K76,1.87863181874,6C4D,DB99.Y
A41,R05,1.369761,1G40,MD12
B95,L30,1.55634176014,XN9ZG,EA8Z
I46,R53,1.081092,MC82,MG25
R12,R50,1.091557,MD95,MG26
J40,J45,2.22425396358,CA27,CA23.32
G62,R27,2.32192809489,8C03,MB45
B24,L30,1.253702,1C62.1,EA8Z
F98,R11,2.25213320585,6B0Z,MD90.1
I64,R41,1.83557838584,8B20,MB21
F98,R06,1.52196481198,6B0Z,MD11
B95,R60,1.96498648316,XN9ZG,MG29
B90,L29,1.293564,1G80,EC90
F98,R44,1.019509,6B0Z,MB27
T73,Z04,1.18876,NF07,MF3Y
L29,T00,1.88270243203,EC90,ND30
F98,L29,1.227034,6B0Z,EC90
B18,R44,1.09235,1E51,MB27
I25,R07,1.9359371271,BA5Z,MD30
J10,R61,1.311168,1E30,EE00
R26,R50,1.359902,MB44,MG26
R06,R60,1.10573,MD11,MG29
E51,R41,2.11197340261,5B5A,MB21
A41,R26,1.98042966232,1G40,MB44
F84,R46,1.116439,6A0Z,MB23
B23,R11,2.44205891831,1C62,MD90.1
B15,F22,1.468389,1E50.0,6A24
E66,R50,1.207978,5B81,MG26
F22,F98,1.269121,6A24,6B0Z
L29,M40,1.289766,EC90,FA70.2
J18,J98,2.46401190552,CA40,CB40.Y
M11,R50,1.83105492478,FA26,MG26
I46,R46,1.003036,MC82,MB23
E78,I10,1.53473446739,5C8Z,BA00
R07,Z60,1.001404,MD30,QE50.Y
G40,I46,1.300855,8A6Z,MC82
G44,M40,1.89385884334,8A84,FA70.2
B17,L29,1.178457,1E50,EC90
F19,R60,1.008126,6C4D,MG29
B18,F13,1.70601956065,1E51,6C44
J00,L40,1.107151,CA00,EA90
A52,F02,1.97263510083,1A62,6D83
R26,R41,1.046756,MB44,MB21
K50,K63,1.97565013858,DD70,DB31
B23,F11,2.13504996016,1C62,6C43
F22,R50,1.009999,6A24,MG26
F15,F22,1.034157,6C4C,6A24
B17,J10,1.060928,1E50,1E30
F05,R26,1.507848,6D70,MB44
M06,M19,2.2840599093,FA20,FA0Z
L29,R13,1.017668,EC90,MD93
T14,T63,2.43120643617,ND56,NE61
I44,I45,2.36872230637,BC63.4Z,BC63
E66,T73,1.246854,5B81,NF07
A49,R53,1.485427,1C41,MG25
R10,R53,1.253757,MD81.4,MG25
M11,R26,1.409327,FA26,MB44
G44,R06,1.035839,8A84,MD11
E11,R60,1.71650149161,5A11,MG29
R60,T73,1.62883598444,MG29,NF07
A41,B37,2.36419974768,1G40,1F23
K51,K52,1.97392648839,DD71,DB33.4Z
F98,R26,1.59099462822,6B0Z,MB44
B34,Z04,1.272532,1D9Z,MF3Y
A49,B34,2.31536540711,1C41,1D9Z
B17,L30,1.38823,1E50,EA8Z
R33,R53,1.32575,MF50.3,MG25
F15,H53,1.120627,6C4C,9D7Z
E66,E78,1.334915,5B81,5C8Z
B34,R06,1.392573,1D9Z,MD11
F60,F61,1.399173,6D10,6D10
L29,T14,1.301288,EC90,ND56
L21,L40,2.37042192766,EA81,EA90
G24,R12,1.118644,8A02,MD95
K73,K77,2.1897305957,DB97.2,1H0Z
B17,J45,1.53241405424,1E50,CA23.32
G43,M40,1.81550320564,8A8Z,FA70.2
B34,L29,1.117606,1D9Z,EC90
F91,F98,2.02031376441,6C91,6B0Z
L30,R13,1.212675,EA8Z,MD93
J40,J42,2.33265654677,CA27,CA20.1Z
H26,H40,2.34031599409,9B10.2Y,9C61
